type,link,img,title,time,content,subtitle,list,keyword
analysis,https://rpubs.com/ZH_Lin/SMA_MidtermReport,analysis1.jpg,核電議題於PTT政黑版和八卦版比較分析,2021/04,本專案探討PTT八卦板與政黑版對於核四議題的差異，找出兩版使用用詞的差異，並且分析鄉民討論各政黨的相關用詞，了解PTT這兩版在討論核四議題的不同。,※  專案特色：,"[""利用文字雲找出關鍵用詞"",
""利用情緒分析找出鄉民對於議題的情緒轉折""
""利用關聯字詞找出各政黨的相關字詞"",""計算各詞的相關性製作詞彙關係圖""]","[""社群媒體分析"",""情緒分析"",""文字雲"",""詞彙關係""]"
analysis,https://rpubs.com/ZH_Lin/SMA_MidtermReport,analysis2.jpg,探討ptt八卦板對於核四議題的看法,2021/06,本專案延續期中專案，將分析聚焦在PTT八卦版上，將PTT討論核電主題分群，並且找出在PTT上討論核能議題中的相關意見領袖。。,※ 專案特色：,"[""利用情緒分析找出PTT鄉民對於核四議題的情緒轉折""
,""利用LDA主題模型找出核能議題的討論主題""
,""利用網路圖找出PTT上的意見領袖""
,""利用word2vec找出相關聯之字詞""]","[""社群媒體分析"",""LDA主題模型"",""網路關係圖"",""word2vec""]"
analysis,https://drive.google.com/file/d/1Hv_-RHxrw9kZsECQPsklgFpYLyOna3zm/view?usp=sharing,analysis3.jpg,高雄市房價分析,2021/10,利用高雄市所公布的open data，蒐集2015年至2021年上半年之高雄市實價登陸之資料，找出不同房價、建物型態、不同地區等房價特徵，並將這些資料視覺化呈現趨勢,※ 專案特色：,"[""不同門牌號碼尾數的購買數量差異"",""不同地區每年房齡分析"",""不同地區每年價格走勢分析"",""不同地區購買物件種類之分析""]","[""資料處理與分析"",""open data"",""資料視覺化""]"
analysis,https://rpubs.com/ZH_Lin/business_data_analysis,analysis4.jpg,Tafeng資料集資料分析,2022/04,Tafeng為一賣場的銷售資料之資料集，內容包括顧客之銷售資料以及產品的銷售資料，並且透過分析這些資料，將顧客分群以及找出產品類型，進而擬定相對應的行銷策略，,※ 專案特色：,"[""將顧客利用RFM分類成不同客群"",""將資料視覺化進行資料呈現"",""找出特定族群購買特定產品比例最高的前十品類"",""分析毛利最高的前十項產品顧客族群"",""針對不同的客群設計相對應的行銷策略""]","[""資料處理與分析"",""K-means顧客分群"",""RFM顧客模型"",""資料視覺化""]"
frontend,https://zihong518.github.io/Hexschool/week7/index.html,web1.jpg,香水電商平台,2020/08,參與六角學院所舉辦的前端工程師體驗營，於兩個月內學習前端開發之技能，課程完課率達95%(平均為71%)，並在最後一週完成香水電商平台之開發，利用Bootstrap開發，並使用SCSS與JQuery製作,※ 使用工具：,"[""Bootstrap"",""RWD"",""SCSS"",""JQuery""]","[""Bootstrap"",""RWD"",""SCSS"",""JQuery""]"
frontend,https://zihong518.github.io/NSYSU_GO/index.html,web2.jpg,中山GO,2021/3~2021/8,中山GO為中山大學新創團隊，核心理念是結合電商與群募聯繫校友與在校生之情感，於7月營運時已突破1000人註冊，在團隊負責平台的開發、維護及內容更新，配合後端與設計進行前端頁面開發。,※ 使用工具：,"[""Bootstrap"", ""RWD"" ,""SCSS"",""JavaScript"",""Vue.js""]","[""Bootstrap"", ""RWD"" ,""SCSS"",""JavaScript"",""Vue.js""]"
frontend,https://nsysu-health.github.io/freshman-health-check/index,web3.jpg,新生健檢查詢系統,2021/07~2021/08,因應以往新生健檢流程繁雜並且以紙本處理以及人工登記為主。我主動提出將流程電子化，減少人力支出並且減少因人工登記造成資料出錯的機會，提高新生健檢整體效率,※ 系統特色：,利用google sheet配合google script作為簡易之資料庫，搭配github page完成系統建置,"[""Google script"",""API串接資料""]"
frontend,https://hackmd.io/@ZHLin/rknkxldEt,web4.jpg,網路程式設計研究社 - WEB講師,2021/09~2022/01,擔任本校網路程式設計研究社一學期的WEB講師，自己編寫教材帶領30位社員學習HTML、CSS等技能，在10堂課內讓社員能夠從0基礎達到業界切版能力,,,[]
ML/DL,https://drive.google.com/file/d/1Hv_-RHxrw9kZsECQPsklgFpYLyOna3zm/view,ml1.jpg,高雄市房價預測,2022/01,利用Xgboost、線性回歸以及隨機森林進行高雄市房價的預測，並且加入街景圖片以及利用google api 抓取目標地址附近是否有餐廳、公園等資訊等外部變數,,,"[""Xgboost"",""隨機森林"",""機器學習""]"
ML/DL,https://private-bobolink-22c.notion.site/d9245458ece349eb8e95822d457363b6,ml2.jpg,深度學習應用實作,2021/09~2022/01,修習本校研究所課程深度學習，完成多項神經網路應用之實作,※ 應用包括：,"[""利用CNN進行圖片分類"", ""利用CNN結合RNN圖片轉文字"" ,""將圖片轉文字應用加入Attention"",""利用Bert進行twitter推文情緒分析"",""利用GAN生成人領""]","[""Pytorch"", ""Deep learning"",""CNN"" ,""RNN"",""GAN"",""""]"
ML/DL,https://drive.google.com/file/d/1VoqJbk5bQMCn6-5xdY-BDX0l4IjwYvv5/view?usp=sharing,ml3.jpg,BeautyGAN之實作 ,2022/01,在深度學期期末實作風格轉移GAN之運用，BeautyGAN為風格轉移的應用之一，使用者輸入一上妝以及一素顏的照片能夠將其進行妝容交換,,,"[""GAN"", ""人臉解析"" ,""Deep learning""]"
activity,,activity1.jpg,中山大學資管系學會 - 副會長,2020/07~2021/06,在一年內舉辦九項系內活動，兩項跨系活動，帶領14位幹部以及超過30位以上成員，熟悉統籌、決策處理以及凝聚團隊成員,※ 舉辦活動：,"[""期初大會、捷運趴趴走、專案展、資管週、聖誕趴、冬至趴、系運、系烤、K歌大賽、主任盃、畢業典禮""]","[""活動規劃"", ""團隊領導"" ,""跨領域合作""]"
activity,,activity2.jpg,中山大學資管週 - 總籌,2020/09~2020/12,擔任為期一個禮拜的活動資管週總籌，共籌備了4個月，協調4個部門與15位幹部，並與4家贊助廠商洽談公關事宜，舉辦電玩大賽吸引超過250位同學參與，粉絲專頁觸及人數達18000千人,※ 關鍵指標：,"[""協調4個部門與15位幹部"",""與4家贊助廠商協調公關"",""舉辦電玩大賽吸引250位以上同學""""]","[""活動規劃"", ""團隊領導"" ,""公關洽談""]"
activity,,activity3.jpg,中山大學資管系學會 - 活動長,2019/07~2021/06,在一年內舉辦九項系級活動，擔任3項活動主持人、2項活動總籌，具有良好的表達能力，頭腦清晰以及快速的臨場反應能力,※ 關鍵指標：,"[""擔任3項活動主持人"",""2項活動總籌"",""舉辦電玩大賽吸引250位以上同學""""]","[""活動規劃"", ""活動主持"" ,""團隊合作""]"
activity,,activity4.jpg,中山大學資管系迎新宿營 - 活動長,2019/02~2019/09,負責迎新宿營中的五大活動發想、籌備，並協調系上30人擔任活動工作人員,,,
